Value,Value,Value,Value,Value
24.32892418,8.695483208,5.961102486,1.501897335,1.975506306
0.562955379,0.756927729,0.679524779,0.659518182,0.27813676
0.346369624,0.251478881,0.42514506,0.265141577,0.313909173
0.230525821,0.273631603,0.163314521,0.055657826,0.110196933
0.215661108,0.199527323,0.121181242,0.011712258,0.101335667
0.228916362,0.203212991,0.121975802,0.006963095,0.097383603
0.22499533,0.199172288,0.115291893,0.004399539,0.099049188
0.216723368,0.205982462,0.115913756,0.003483431,0.105614975
0.214565963,0.203044981,0.115369685,0.002659538,0.107939936
0.216011345,0.204496861,0.114181072,0.001827061,0.097872905
0.211684227,0.203193918,0.117199242,0.001482669,0.101927191
0.220116749,0.211551815,0.113894746,0.001132549,0.096887529
0.209830821,0.212257937,0.115841195,0.000919335,0.104248226
0.199781954,0.211240619,0.113304213,0.000774197,0.097471386
0.227713734,0.208933502,0.112797059,0.000638185,0.101767406
0.220585778,0.214024633,0.115569793,0.000548937,0.100414485
0.218624189,0.203742117,0.115208767,0.000432077,0.09965533
0.213792235,0.210648268,0.111065179,0.000384529,0.101476267
0.227194518,0.205722108,0.111359872,0.000342336,0.10183911
0.216990352,0.192098424,0.11235252,0.000283456,0.106889591
0.211383641,0.217139855,0.114609614,0.000273114,0.102498218
0.214015543,0.203072563,0.114424571,0.000231491,0.105425909
0.213083923,0.200866416,0.115369357,0.000205308,0.100159384
0.204355597,0.207788587,0.11442484,0.00017625,0.101355702
0.195091426,0.214715764,0.11492388,0.000146558,0.101914875
0.210174143,0.203541026,0.112701513,0.000149576,0.090081125
0.217253208,0.215589106,0.116245568,0.000121695,0.099764846
0.221409664,0.220144197,0.113825977,0.00011529,0.103448942
0.208952427,0.207012728,0.116912805,0.000112303,0.098685369
0.215059415,0.211519107,0.116176084,8.94E-05,0.097466677
0.21066685,0.210463673,0.116078116,8.34E-05,0.099711657
0.213555187,0.219587758,0.112711169,7.57E-05,0.0979724
0.209787726,0.205558106,0.116535723,6.86E-05,0.104237653
0.209601119,0.212696299,0.115010746,6.38E-05,0.103488266
0.212799773,0.202772915,0.111462936,5.53E-05,0.100979529
0.21013099,0.212009862,0.115188539,5.09E-05,0.095651589
0.216844603,0.202040046,0.113815889,4.80E-05,0.10246028
0.210770562,0.205974221,0.118783168,4.47E-05,0.100904606
0.211430892,0.190624461,0.107912056,4.25E-05,0.096768104
0.213673338,0.209967479,0.114625409,3.66E-05,0.099709444
0.204558775,0.209816188,0.115980893,3.43E-05,0.106005371
0.221447811,0.204462439,0.111073777,3.14E-05,0.103383236
0.210972831,0.210894793,0.117728516,2.92E-05,0.110191897
0.212027803,0.20525898,0.115035944,2.78E-05,0.101948537
0.214554131,0.199442863,0.117155112,2.41E-05,0.100613296
0.208463892,0.211650193,0.118320867,2.38E-05,0.108232841
0.207000673,0.213571548,0.109787285,2.17E-05,0.103194095
0.224781111,0.200642034,0.112533666,1.93E-05,0.107161887
0.21381022,0.205156669,0.114182599,1.77E-05,0.096113726
0.209051907,0.207575992,0.116612174,1.75E-05,0.100858562
0.214097723,0.211459041,0.110470794,1.64E-05,0.098999493
0.220285639,0.203815937,0.112044461,1.50E-05,0.102972955
0.217436492,0.209445834,0.115872383,1.32E-05,0.102835283
0.219447657,0.206423506,0.117083594,1.20E-05,0.114491262
0.210855126,0.204915956,0.112718336,1.17E-05,0.103108101
0.194559902,0.203736871,0.117078096,1.04E-05,0.101416208
0.20438914,0.218770206,0.111438692,1.01E-05,0.100815028
0.215159342,0.199069649,0.112310104,9.27E-06,0.107044362
0.220229954,0.204386383,0.115265027,8.06E-06,0.108567581
0.205594882,0.208508551,0.114406317,7.93E-06,0.10782323
0.204800054,0.197476596,0.111850813,7.37E-06,0.110050619
0.214317799,0.216189265,0.113572866,7.81E-06,0.106756926
0.212715358,0.209295124,0.11272034,6.56E-06,0.108912908
0.20680441,0.212801322,0.113673948,6.97E-06,0.106081016
0.210119173,0.208030999,0.114380322,5.34E-06,0.103924252
0.206926048,0.212753221,0.115299128,5.01E-06,0.102181375
0.208343163,0.20814468,0.117356807,4.86E-06,0.107360817
0.2002092,0.212237895,0.114426516,4.41E-06,0.10397502
0.197462738,0.205716282,0.11401356,4.07E-06,0.103055723
0.205888227,0.206708297,0.112506531,3.92E-06,0.096734926
0.21738559,0.211378589,0.115713395,3.54E-06,0.1026875
0.209057808,0.211343169,0.115412124,3.27E-06,0.10093344
0.210460514,0.201555997,0.115063146,3.11E-06,0.106298015
0.207962453,0.200960383,0.113646336,2.89E-06,0.108467281
0.225317478,0.205949053,0.115584642,2.63E-06,0.106012754
0.210466251,0.21081461,0.115521342,2.56E-06,0.102220908
0.207025662,0.211073697,0.113910168,2.54E-06,0.107893184
0.218743041,0.214359,0.116569012,2.25E-06,0.105987981
0.215561882,0.199711874,0.113259904,2.09E-06,0.105834834
0.22035642,0.202016562,0.114355221,1.93E-06,0.105503485
0.21182178,0.200652301,0.116422966,1.89E-06,0.098034956
0.221791521,0.197855398,0.116730824,1.73E-06,0.105819009
0.225217804,0.204629347,0.110289276,1.57E-06,0.105504364
0.213940963,0.208643571,0.105485991,1.56E-06,0.104651384
0.22034052,0.199760258,0.112505637,1.42E-06,0.104989931
0.204857394,0.20855163,0.11648041,1.30E-06,0.103795759
0.208154768,0.19826135,0.113040306,1.28E-06,0.105445117
0.206427157,0.202136055,0.114825249,1.15E-06,0.107059009
0.211907476,0.210457712,0.118685275,1.19E-06,0.106736936
0.215589255,0.213017642,0.112059288,1.05E-06,0.111922033
0.217976555,0.215362489,0.114537217,9.68E-07,0.110750176
0.207665846,0.208384737,0.113904066,1.01E-06,0.106458329
0.213577405,0.203561082,0.116472892,8.52E-07,0.108158953
0.220177054,0.214573741,0.119082019,8.38E-07,0.105006561
0.218476042,0.220234215,0.111765288,7.83E-07,0.110244684
0.213634402,0.209943071,0.115201443,7.13E-07,0.110480353
0.213974968,0.212685198,0.112501957,6.88E-07,0.106475629
0.211497933,0.202268481,0.117909707,6.82E-07,0.111440562
0.209208503,0.205530778,0.113789059,6.36E-07,0.10471651
0.20808892,0.209524095,0.114992082,5.80E-07,0.109856941
0.210671335,0.205406591,0.113957368,5.87E-07,0.10658583
